Row,Column,State
0,0.5,AK
6,7.5,AL
5,6.0,AR
5,3.0,AZ
5,2.0,CA
4,3.5,CO
3,11.0,CT
5,12.0,DC
4,9.5,DE
8,8.5,FL
7,8.0,GA
8,0.5,HI
3,5.0,IA
3,2.0,ID
3,6.0,IL
3,7.0,IN
5,5.0,KS
4,6.5,KY
6,5.5,LA
2,10.5,MA
4,8.5,MD
0,11.5,ME
2,7.5,MI
2,4.5,MN
4,5.5,MO
6,6.5,MS
2,2.5,MT
5,9.0,NC
2,3.5,ND
4,4.5,NE
1,11.0,NH
3,10.0,NJ
6,3.5,NM
4,2.5,NV
2,9.5,NY
3,8.0,OH
6,4.5,OK
4,1.5,OR
3,9.0,PA
2,11.5,RI
6,8.5,SC
3,4.0,SD
5,7.0,TN
7,4.0,TX
5,4.0,UT
5,8.0,VA
1,10.0,VT
2,1.5,WA
2,5.5,WI
4,7.5,WV
3,3.0,WY
